B18_2i_R1	B18_2i_R2	B20_2i_R1	B20_2i_R2	B18_PD_R1	B18_PD_R2	B18_PD_R3	B20_PD_R1	B20_PD_R2	B20_PD_R3	B18_R2i_R1	B18_R2i_R2	B18_R2i_R3	B20_R2i_R1	B20_R2i_R2	B20_R2i_R3
Lefty2	4.01	4	5.67	4.27	5.08	5.04	5.12	5.65	5.57	4.65	0.26	0.13	0.19	0.34	0.21	0.2
Lefty1	3.31	3.38	4.56	3.83	4.96	4.94	5.15	4.97	5.07	4.4	0.43	0.3	0.25	0.3	0.37	0.37
Trh	6.4	6.41	6.95	6.72	6.33	6.72	6.69	6.66	6.14	7.12	2.79	2.67	2.64	4.35	4.22	4.39
Copz2	4.81	4.63	5.31	3.69	4.81	4.81	4.7	5.83	5.99	4.27	2.23	2.42	2.3	1.76	1.48	1.92
Dppa3	1.56	2.07	1.11	0.54	0.75	1.21	0.61	2.24	2.53	2.17	3.92	4.09	4.01	3.39	3.34	3.44
Dclk3	2.36	2.44	2.87	3.71	1.85	1.58	1.69	1.98	1.72	1.88	0.31	0.28	0.51	0.81	0.75	1.02
Nt5e	2.43	2.86	2.15	3.22	0.78	1.27	1.07	0.67	0.48	1.11	0.28	0.28	0.27	0.96	0.29	0.94
Cyr61	0.59	1.57	1.27	1.7	2.83	3.46	3.58	3.23	2.3	3.57	3.25	2.85	3.32	3.42	3.75	3.68
Id1	1.34	1	0.84	0.8	1.58	1.34	1.43	0.67	0.43	0.74	2.58	2.35	2.96	4.86	3.43	2.36
Adh1	2.55	2.64	3.28	2.99	0.42	0.48	0.26	1.65	1.3	0.94	0.44	0.96	0.67	0.96	1.39	0.81
Id2	1.15	1.7	2.33	1.84	3.64	3.35	3.46	3.7	3.79	3.6	3.24	2.93	3.47	4.62	4.06	3.63
Vwf	4.43	4.29	4.47	4.08	3.58	3.59	3.83	3.65	3.78	3.12	2.52	2.73	2.77	2.23	2.3	2.03
Wdr45	3.06	2.91	4.05	4.24	5.17	5.04	4.92	5.95	5.85	5.63	5.4	5.07	5.26	5.51	5.48	5.58
Gm1967	1.88	2.01	2.94	2.71	0.94	1.15	1.25	0.93	0.51	1.22	0.33	0.63	0.6	0.52	0.68	0.7
Tuba3a	3.13	3.09	3.13	3.27	1.52	1.13	1.35	1.83	1.56	2.08	1.74	1.74	1.2	1.14	1.27	1.18
H19	0.73	1	0.87	0.43	1.69	1.43	1.55	0.51	0.33	0.61	3.16	3.29	3.11	1.9	1.87	1.78
Bmp4	3.56	3.44	2.65	3.38	4.21	4.3	4.31	4.06	3.4	4.31	5.08	4.97	5.02	5.08	4.98	4.96
Fkbp6	5.19	5.45	5.5	5.66	2.26	2.27	2.26	2.6	2.69	3.3	3.46	3.52	3.54	3.95	4.1	3.66
Kiss1	2.63	2.48	2.39	2.42	1.53	1.66	1.86	1.13	1.09	1.31	0.64	0.92	1.13	0.67	0.8	0.63
Fhl1	4.58	4.84	5.15	5.04	4.69	4.51	4.52	5.07	5.02	4.87	3.28	3.07	2.95	3.39	3.47	3.22
