PROBE_ID	SYMBOL	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5
ILMN_1	Gene1	5.98	3.25	3.13	11.27	9.47
ILMN_2	Gene1	11.77	7.19	14	6.79	14.06
ILMN_3	Gene1	0.58	2.96	13.88	8.04	12.76
ILMN_4	Gene1	11.23	10.79	11.01	8.06	8.7
ILMN_5	Gene2	10.16	0.12	5	0.02	12.32
ILMN_6	Gene2	2.57	5.63	7.73	5.33	1.71
ILMN_7	Gene2	3.92	7.72	11.16	9.18	11.47
ILMN_8	Gene2	7.72	0.02	9.29	12.43	9.35
ILMN_9	Gene3	10.13	8.72	9.39	5.35	2.23
ILMN_10	Gene3	14.74	2.37	3.26	6.16	1.2
ILMN_11	Gene3	11.39	5.39	3.25	8.6	6.96
ILMN_12	Gene3	8.5	9.68	5.83	8.85	11.69
ILMN_13	Gene4	12.75	11.64	14.14	10.79	11
ILMN_14	Gene4	2.84	8.45	14.44	5.92	12.26
ILMN_15	Gene4	4.07	3.51	11.1	13.79	2.55
ILMN_16	Gene4	12.42	1.35	11	14.44	14.17
ILMN_17	Gene5	10.4	1.28	8.04	3.5	4.4
ILMN_18	Gene5	3.61	4.58	0.03	10.87	2.24
ILMN_19	Gene5	0.64	10.01	9.13	13.55	10.79
ILMN_20	Gene5	2.11	0	12.55	9.05	4.86
